43,2011-02-12 09:48:10.137666+00,2009-03-08 12:47:38.429494+00,B.T.M.,18,t,,,,
2633,2011-02-19 17:13:22.524215+00,2011-02-19 17:13:22.507016+00,Marchwood Brass,564,f,,,,
2634,2011-02-19 17:13:22.52573+00,2011-02-19 17:13:22.508863+00,Marchwood Vodafone,564,f,,,,
3687,2011-05-06 20:33:50.766959+00,2011-05-06 20:33:50.766884+00,ICI Alkali,1691,f,,,,
5452,2011-11-08 15:28:52.823095+00,2011-11-08 15:28:52.823006+00,Tomrefjord Skulekorps,5728,f,,,,
1317,2010-11-12 22:38:18.553261+00,2010-04-06 21:36:53.123618+00,AW Parker (Drybrook),549,t,,,,
91,2009-03-11 21:59:20.433467+00,2009-03-11 21:59:20.433372+00,Newbridge (Celynen),290,f,,,,
5643,2011-12-07 15:18:50.483144+00,2011-12-07 15:18:50.483061+00,Wike Old,3635,f,,,,
93,2009-03-11 22:05:01.508624+00,2009-03-11 22:05:01.508508+00,Poulton le Fylde,168,f,,,,
2278,2011-01-24 21:42:56.334362+00,2011-01-23 19:12:47.575637+00,Hucknall & Linby Brass,490,t,,,,
97,2009-03-12 21:36:54.939508+00,2009-03-12 21:36:54.939404+00,Maxilead Metals (Tyldesley),176,f,,,,
1173,2010-03-06 12:15:23.103839+00,2010-03-06 12:15:23.103786+00,Redbridge Band,17,f,,,,
1883,2010-11-12 22:38:18.556553+00,2010-10-03 22:50:15.537531+00,Drybrook and District,549,t,,,,
100,2012-01-05 16:37:29.833277+00,2009-03-12 21:38:24.581892+00,Haslingden and Helmshore Brass,190,t,,,,
3667,2012-01-08 17:15:12.0934+00,2011-05-05 19:29:12.704394+00,Snibston CW,274,t,,,,
34,2012-06-11 18:43:01.999977+00,2009-03-08 12:24:54.278419+00,The BT Band,253,t,,,8,
2859,2012-02-01 18:16:31.712178+00,2011-02-27 17:11:44.769596+00,Royal Leamington Spa Silver Band,2387,f,,,,
65,2012-02-01 18:50:52.420474+00,2009-03-09 15:16:44.328357+00,David Urquhart Travel Yorkshire Imperial,35,t,,,,
73,2012-02-03 21:44:58.481833+00,2009-03-09 15:59:23.783223+00,WP Sovereign,233,t,,,,
78,2012-02-03 22:27:57.364054+00,2009-03-10 23:23:41.763177+00,Wingates Brass,29,t,,,,
103,2009-03-12 21:43:02.042748+00,2009-03-12 21:43:02.042631+00,Rainford Silver,187,f,,,,
104,2009-03-12 21:46:17.726206+00,2009-03-12 21:46:17.726093+00,Pemberton Old Wigan (JJB) 'B',208,f,,,,
1992,2011-02-12 16:33:50.587686+00,2010-11-11 00:41:10.709887+00,B.S.C. (Port Talbot),462,t,,,,
954,2010-11-12 22:38:18.559433+00,2009-10-22 21:23:37.982652+00,Drybrook & District,549,t,,,,
1174,2010-03-06 12:26:07.640302+00,2010-03-06 12:26:07.640252+00,Brighton (Buses) Silver Band,369,f,,,,
2723,2011-02-20 16:57:49.597975+00,2011-02-20 16:57:49.597901+00,Bolton Youth Brass,2657,f,,,,
